,BarkingandDagenham,Barnet,Bexley,Brent,Bromley,Camden,CityofLondon,Croydon,Ealing,Enfield,Greenwich,Hackney,HammersmithandFulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,KensingtonandChelsea,KingstonuponThames,Lambeth,Lewisham,Merton,Newham,Redbridge,RichmonduponThames,Southwark,Sutton,TowerHamlets,WalthamForest,Wandsworth,Westminster
AbbeyRoad,0.5584780992640007,0.2952011084626596,0.5722863219488772,0.30445451952741065,0.5306770866095066,0.15408322153240864,0.2972087846374619,0.44869395841400705,0.3915778156687827,0.3840100094184493,0.4924678850834805,0.34086141467979014,0.24100718767361137,0.29981039140868104,0.41803334474969445,0.6327661946043873,0.5172445304216315,0.44754348534428334,0.26323324089375194,0.1906254377118196,0.4275762249284439,0.31844436255107633,0.42453135884384235,0.3555211989979682,0.46333406233807334,0.5090063245026151,0.4044618383708936,0.3472825838779741,0.4157058180982044,0.3790879063340944,0.4192859130912443,0.28974565599331026,0.16417213115881013
AbbeyWood,0.24576468922362535,0.5898789555218128,0.19938328561510976,0.6227961085144308,0.36304052109791163,0.5265160652594415,0.45553458921736206,0.4907056984425403,0.667810338716004,0.5084772885120044,0.24377591901094253,0.4337855553908694,0.5787983146548578,0.49350213111292307,0.6840199209234977,0.3629261351655195,0.7495447072591519,0.6936587889035023,0.4814998510724183,0.5537973548859609,0.6425785693357046,0.4843114796088133,0.3738668560297917,0.5662063276541759,0.2950162953426423,0.32324335249898173,0.6550410368530208,0.43455222313023806,0.5633430450672972,0.3898638822902846,0.40586294622861896,0.5498470598163911,0.525477859413054
Abbey_BarkingandDagenham,0.23636953294225688,0.5457961713748128,0.31964883526645427,0.5884461188177257,0.4120422127962431,0.4852354745045956,0.41462548594310944,0.49748087699466886,0.6397846740264527,0.44630909291521054,0.2652038251445674,0.3765740768601439,0.5499158582792172,0.43840781335499135,0.6505356753219477,0.3811616740125145,0.7235991523835286,0.6713705923463145,0.4340393979739665,0.5228517951273751,0.6286158245536816,0.4631235898448146,0.366464483649859,0.551585561218301,0.20755855902177428,0.21449296079430105,0.6347351911198243,0.4079562010376652,0.5578359560796264,0.3402039530010082,0.3249856603814069,0.5279700458355714,0.4905378962135582
Abbey_Merton,0.5917298046976414,0.4503650378629913,0.5783328207321656,0.4044470752495189,0.49624114433709154,0.3695041739136907,0.3757862803912462,0.3455484837983371,0.42070369034720956,0.5085962358061291,0.5042100689179426,0.4338410190570526,0.29539436704772776,0.44172974513856667,0.48704821533384846,0.6623933380379782,0.533539642975184,0.42918358301365495,0.3960460654005503,0.29588340691253906,0.31512478805823885,0.28743440124857833,0.4173799072283208,0.08604450150790093,0.5045527835599104,0.5633495308120908,0.3536331222343454,0.3614187801475491,0.23178558528931717,0.4319557258822652,0.5034314376206538,0.1938117491432461,0.3227574179646371
Abingdon,0.5784846277103982,0.3467825654389278,0.5830705699013181,0.3062959951278307,0.5276398699873533,0.2531388888475148,0.32704536939014617,0.42323647054687186,0.36880137412365244,0.4357419296507799,0.5048471023576678,0.3812748819178077,0.15415404402212893,0.3607590484277479,0.41934198766119013,0.651245684524898,0.5021862708149227,0.41460184850414333,0.31879641340214804,0.08393491121927298,0.3749361699247095,0.3005392865971968,0.42865546635699464,0.2940573114581093,0.4858812530977479,0.5362812316772916,0.3571381064938718,0.3537127203403535,0.3685148641219352,0.40406380482944926,0.4572491778665138,0.21542761045413283,0.20055886312936722
ActonCentral,0.6367054365613982,0.34343276792172706,0.6441195612541449,0.2091587575382891,0.5937309682984282,0.3429250232800977,0.42255830058464594,0.4931835163086508,0.246521312808405,0.4779344391305384,0.5741684344542598,0.459073883288865,0.230097912780791,0.42409428362066304,0.3298284747871662,0.7030775436226184,0.42064567999014146,0.32716603772769814,0.40490999387573606,0.281213075316617,0.357805813035881,0.40559145548099784,0.5091467100088596,0.35793589588736535,0.5544381630676144,0.5947639644583188,0.29001425941360615,0.44779617097000873,0.4230479505369106,0.4849227943873392,0.5195616415643995,0.32489721644473196,0.3307982476274501
Addiscombe,0.5204388176866609,0.5177064094499787,0.4850951649490321,0.5073902152998288,0.36530599058582447,0.42679547626072695,0.36674680686873945,0.16128279141199037,0.535578749778333,0.5199034288330087,0.40716674017788995,0.4153165032820166,0.4254826351962471,0.459568705224921,0.5816813301337785,0.5950496596511781,0.630823127923254,0.5464710688440282,0.4124987630084641,0.40520083000726503,0.4531977647370716,0.2847559631159073,0.30185294602416995,0.34531795452337183,0.4347113589208584,0.5083837551260858,0.48923095866079364,0.3043999694037256,0.3126258415097217,0.3794458949750467,0.4734564538835045,0.35548150765891057,0.3939025952181412
Addison,0.5965810500416656,0.34068473591332726,0.6018952253148511,0.2750017056116567,0.5476422160642731,0.27805667484522273,0.3580295001535157,0.443115606093052,0.33714317374103736,0.44773520310531784,0.526450632774124,0.4057323761773083,0.06881501395299995,0.3791352521272487,0.39482134413942216,0.6672866543314312,0.47941510763760303,0.3886030147559803,0.3455645692303095,0.16368578460743766,0.36205103262416066,0.3342800160681353,0.45389255247853355,0.30513579136537927,0.5073873370936992,0.554505009312583,0.33176256338137106,0.38401042329848734,0.3801170017843547,0.429783945508224,0.47656632772460417,0.2431577454717269,0.2445111603453295
Aldborough,0.22628460204551182,0.5658002150509308,0.36758257240679937,0.6150013894693603,0.47510581632980314,0.519696995808751,0.46358852912931753,0.5532655802952535,0.6673014760905377,0.4533471619268234,0.35887720515343063,0.4201533436128661,0.58614218307096,0.4653430325329304,0.6711207107894731,0.33909248066759423,0.7462374232627952,0.7011057573448817,0.47251339611638027,0.5608877746648578,0.6668475876301245,0.5152969290583024,0.4384022354549427,0.5962021370992422,0.30901553532162757,0.18309579115096827,0.6687834225272055,0.4667321857391937,0.6052891494985181,0.4025914523347697,0.34895975908190274,0.5714350735955074,0.5300528561374571
Aldersgate,0.48036681914339874,0.3893910258258929,0.4927529896664835,0.421163706765348,0.4541541244049508,0.2621411580094708,0.06140095062864949,0.40197677549407185,0.48543565973541475,0.36679277347860534,0.39738826723245757,0.21892255135533795,0.35712820792552996,0.27320182150498823,0.5087473210521523,0.5657987029251166,0.5925250074143504,0.5252991553484484,0.18723602686542062,0.3138241806951648,0.48035936814111635,0.25998099834417426,0.31905423912831443,0.38407825549554825,0.363789448315297,0.4297395120413141,0.479515135875028,0.21975521156154348,0.4184178339568698,0.24466981726297707,0.3365987108733215,0.33471053482454,0.2567384986695992
