borough_new,BarkingandDagenham,Barnet,Bexley,Brent,Bromley,Camden,CityofLondon,Croydon,Ealing,Enfield,Greenwich,Hackney,HammersmithandFulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,KensingtonandChelsea,KingstonuponThames,Lambeth,Lewisham,Merton,Newham,Redbridge,RichmonduponThames,Southwark,Sutton,TowerHamlets,WalthamForest,Wandsworth,Westminster
BarkingandDagenham,0.008521132741222355,0.036239971373154455,0.015853552919641488,0.03919460311258446,0.023999169984208913,0.0375768378983119,0.033834337791439864,0.03215529822634437,0.03924085079883405,0.029500272170266816,0.01930412423631009,0.03028127768575251,0.040415766740401676,0.03291999841390605,0.03749410022422705,0.01413426495184529,0.03653867567367751,0.038517825506118,0.03459926328605186,0.03996022151898043,0.03808889890232733,0.03601088934742238,0.02749473276302478,0.0384105763135912,0.018989977218791795,0.014952991339631691,0.0391719312480641,0.03252790922008098,0.03617985544531421,0.027918614562975865,0.024317319912613367,0.03930074085006634,0.03859671408731025
Barnet,0.03865465220050611,0.015290529436733976,0.039681608791248615,0.02224534429504511,0.04007058480565589,0.025238068936109477,0.03424988284935469,0.03927297486815737,0.02801691949853332,0.026223887392912537,0.04013683967703669,0.03350270241801322,0.02893704898186331,0.026312655263592576,0.024821806865216314,0.037574793980250355,0.02973908266802817,0.031175034846094147,0.0297136089125363,0.02914833249937817,0.03441634997854834,0.036903154763921114,0.039916583089350914,0.035910713851155796,0.038760652533688135,0.03715707015862226,0.032176434868822545,0.037767505880318054,0.03745950894479332,0.03722427039942088,0.034111615327393055,0.034121771887300735,0.029243729635068445
Bexley,0.019452255749900137,0.046830056211333446,0.011488822619814779,0.04949610548122384,0.02368694048230849,0.047922499399054824,0.042804868707774474,0.03668057226641902,0.048986106127893426,0.040232046022621565,0.021047759304486224,0.039948096112945544,0.05024545405194365,0.043528391065287095,0.04741959564056084,0.02100856057938822,0.045598813060746396,0.04759419912064776,0.04465869225300047,0.049809776509757514,0.046164493123182326,0.043596031409889706,0.031742284860600364,0.04628078151603938,0.026774935938017722,0.02621616000488894,0.04810028642087096,0.039642166830861754,0.042798907027613936,0.035883753680747726,0.034717845729334895,0.047994888276214724,0.048444923507846266
Brent,0.04133230096698658,0.02212777340586732,0.04148420788725986,0.0140237310307256,0.040719798530259914,0.027779407849781588,0.0367720697553418,0.03810863732437816,0.020083682839555056,0.0331493149974351,0.042228868054346703,0.03787556512941358,0.023022841490053663,0.032906371010473924,0.020012787785439433,0.03984102833763402,0.025530943060578525,0.025068970257406026,0.03386109268089247,0.025516161893955416,0.02936082325735887,0.036260051983889825,0.04120802290345421,0.03204841217393269,0.04188142682204759,0.040668199495239137,0.025816838129947502,0.03895520303101288,0.034448600540519854,0.040314391696501035,0.038879182825454606,0.0304703942393011,0.028793607242176816
Bromley,0.030293144253043768,0.04595454845115067,0.0247247292575886,0.04720310012717119,0.016952024643192908,0.045114028184786145,0.03912391748292743,0.027441568479691942,0.04647546591450913,0.0419901172896642,0.024684741890973375,0.039264696214076515,0.045992537383461,0.04319676236175104,0.046108398197500816,0.03072890749665571,0.044133763575245254,0.044809889731253987,0.042482908631345705,0.045385690706257406,0.04164522567810933,0.036348793673276626,0.024933966093795095,0.03994041265788181,0.031073737862871917,0.03350236198949985,0.044363451500900694,0.03340243629180074,0.035896334675120725,0.03435863954106066,0.037761857690170396,0.042047265928956044,0.04427275822276883
Camden,0.030350298491168427,0.019645160229257615,0.03071683398427517,0.021962512613801343,0.0300641590601718,0.011260933100935037,0.019806801412750374,0.02839260993451071,0.02563546248096469,0.022955623037521772,0.02988560536713091,0.02232887844308687,0.020667409822999368,0.01894217859762087,0.025277828798946536,0.030228518405669653,0.02742075775912178,0.0272130508355921,0.01631568380013433,0.018219903481980267,0.027306905558636376,0.023349389684345974,0.027991972375868427,0.025745727027697007,0.02885819974186342,0.029119043109876053,0.026616221570923942,0.02421437374576891,0.027469050426405288,0.025333367564704733,0.025986233189409735,0.02293822745994671,0.015026234400699844
CityofLondon,0.005980489456049608,0.005696645504684149,0.006017787945242419,0.006216135344743255,0.005806933175532098,0.004426679931881098,0.0013474100060304208,0.005637632017084436,0.0066432696303455165,0.005208024383980887,0.005523789974190264,0.0035227343590378594,0.005767544319960422,0.004365774431879129,0.006562871725553728,0.006153974700417021,0.006746756603238138,0.006748842320089063,0.003233171877872048,0.0052463321915556345,0.006476843302116423,0.004294336579802715,0.004806682657270648,0.005861443760128159,0.005250258052121716,0.005684920809981883,0.006591434595664746,0.0035456411587870117,0.0059616521842653074,0.0038246320253603914,0.004940464835141318,0.005434666138800998,0.004404267079925635
Croydon,0.039994264874697316,0.04587215792431902,0.03647864069102375,0.04516312264068129,0.028704057049684994,0.043601758934556985,0.03899109546125873,0.017068086579008566,0.044010960098121735,0.045235690508655474,0.035585159509329806,0.04217605351026375,0.04155440182287217,0.044901588034728775,0.0451569322386932,0.039605623770974735,0.04304202299925758,0.04199764392879056,0.042786866383084085,0.041112979575226936,0.03635737788203168,0.030154868957518635,0.030046256794156578,0.031814004034868906,0.03950028625073134,0.04170235598640947,0.040214696512783935,0.03252147108964633,0.026459411369682346,0.03852536944204222,0.043326452508646855,0.03519481934703418,0.0410351902161445
Ealing,0.04907279494884059,0.03293025812582928,0.048667382971990095,0.0235033645484783,0.047333936761731935,0.03957215499407044,0.04712108609617565,0.04379724446497889,0.014838250585263706,0.04276837141911251,0.05034611531462706,0.04833751113619207,0.030253741364011943,0.04384179487318428,0.02170646787955077,0.046708076745803684,0.02213932123570616,0.019567441648887223,0.04495598241160533,0.034994371211212294,0.029172249873587644,0.0445145343366401,0.0495042054728967,0.03626658779266399,0.050784388979852726,0.04908920491102183,0.023231704860296444,0.04809403415051909,0.03834944622236743,0.05007162941419696,0.04846535366560103,0.036785761947875806,0.03949120168755716
Enfield,0.03175316702247496,0.027786542312934218,0.03450114587487813,0.03490727463983505,0.03705572794431396,0.0306657410544359,0.03194946580067598,0.03962675801750045,0.037714550007764594,0.014338904312799007,0.03437340181133618,0.026306149245380068,0.037938107148804676,0.02093055215740905,0.034723954283487866,0.03189445257138416,0.036707764076993686,0.03893636880417137,0.027876961044683166,0.03689311645867091,0.04041705384539829,0.03814721003700155,0.03625424884409637,0.04076238235128935,0.030924110210441294,0.02834032815346173,0.039834191189251335,0.035701700639077856,0.040735229771536575,0.030958886608189604,0.02243901749584889,0.03963807956116618,0.03456875803450101
