,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,City of London,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
AbbeyRoad,0.0016976365075968148,0.0007965932208490865,0.0017568110001319824,0.0006604819459842048,0.0017389971749291644,0.00024569233369721053,0.00085421321544341,0.0016105685099125568,0.0010129215275257212,0.0011370202923647532,0.001678961756925215,0.0010091829736369362,0.0005899594861579494,0.000826798526517826,0.0010061237248982628,0.001683767896274052,0.0012351743245134883,0.0011941773983811443,0.0006134457222594962,0.00045029356550487746,0.0013737824405307202,0.0011400451759688828,0.0015270896400366909,0.0012989821500436678,0.001553359796617598,0.0015422015993179345,0.0011792502727380504,0.0012022083235101793,0.001514038919585124,0.0012364642000076626,0.0012629204830562517,0.0010055485257729733,0.00032162517686136586
AbbeyWood,0.00048637866797748635,0.0024352139969587186,0.00028237140716129883,0.002726970702624233,0.0009491866331736722,0.0024252786100922834,0.0018851479874814558,0.0016666290696113575,0.002739390540561885,0.0018231075552474323,0.0004617764579659901,0.0016818999350724903,0.0027550399794662337,0.0020261945428557563,0.002580738045880888,0.0007108337386993248,0.0025357086543548787,0.0026873409978863294,0.0021330541609686977,0.002646781048502433,0.0024354479444661428,0.0020121398815012522,0.00112420528075089,0.0023596123049036393,0.000694454035927085,0.0008674931302960906,0.0026477445870528365,0.0016017486503462739,0.002077386263712654,0.0013171173665750637,0.0013644422752660812,0.0024546842311181883,0.0024806360501073836
Abbey_BarkingandDagenham,0.0003214997986602262,0.0020494367013081357,0.0007154726987343871,0.002400160335693831,0.001298373118215785,0.002010554407815178,0.0015640507036221308,0.0018594535710986001,0.0025141883104247463,0.0013707365050268285,0.0006696698947992534,0.0011901584605448707,0.0024843110264694155,0.0015594692207859303,0.002301235982260024,0.000614728392514537,0.002372544597733058,0.002499627740087024,0.0016186057311332535,0.002352000069066218,0.002404667614106194,0.001960384167162659,0.0012827013742940136,0.002338693113836985,0.0003029373877221042,0.00039851246235135827,0.002539966652708759,0.001550965325975693,0.002168669751529552,0.0009861237369779422,0.0008318950342490134,0.002377382951487128,0.002153931959325695
Abbey_Merton,0.002041670684830962,0.0019175278946500492,0.0017609695360655505,0.0015876483737121685,0.001321670172559127,0.0017124922796337547,0.0016458596807230545,0.0007956430298819162,0.001366927057762988,0.002137958411683389,0.001760512060683,0.002013419499028023,0.001032482752966859,0.0020781507579540953,0.0016843364936992757,0.0020136942588294903,0.0014415774460318366,0.001118694428885543,0.0018901733037601422,0.0011355031485334901,0.0005865078625831526,0.0007923865378801056,0.0013345062942977804,8.132222328075945e-05,0.002011541085768112,0.0021582496394086667,0.0008249402930202611,0.0012755246461114156,0.0004671027971901477,0.0018585058287967288,0.002196072008664372,0.00046085885513013524,0.0013785117293973561
Abingdon,0.0017771366754849335,0.0011366874539801182,0.0017255197215498878,0.0007981575839866532,0.0016501182392840452,0.0007368541509023372,0.0009739163940586142,0.0013526750453751789,0.0008424322036258047,0.001485248366995002,0.0016397252900228845,0.0013115615055353982,0.00022458806921218412,0.0012589842178348954,0.0011417244265900421,0.0017904152682446351,0.001161319878059938,0.0009507172060372825,0.0010183221488892279,7.724511214513539e-05,0.0010408284631929395,0.0008849790394816392,0.00143888646768827,0.0008943633375509803,0.0016575002785366559,0.0017457343649898817,0.0008840984036491213,0.0010836017955100142,0.0011809610426345026,0.001373607236276118,0.0015861453528532266,0.0005459534517812206,0.00042568385508937295
ActonCentral,0.002146714480605668,0.0010341285640768792,0.0021464862689233835,0.00044895799854831195,0.0020450235101617913,0.0010598755002847468,0.0015791611640390403,0.0017362394591443966,0.00041401060746469674,0.0015996088583591199,0.002167579719482342,0.0017588924773339761,0.0005221431174326268,0.0015193523692034086,0.0007583594798318021,0.0020584839239405667,0.0008391210070301529,0.0006855326468629793,0.001435460740148757,0.0007570020990223268,0.0010722668053658084,0.0015383676356886878,0.0020334875476571562,0.00121050574453665,0.002143765428858976,0.0020761250389051103,0.0007090989724771082,0.0017758468904070077,0.0014446604158848228,0.0019213086319133151,0.001909104921799479,0.001053677524126372,0.0009870810147008572
Addiscombe,0.0017825253312308712,0.0023786698070524864,0.0013574552050689963,0.0022480400405894864,0.0006981036399762101,0.0022105624527070113,0.001838163899622628,0.00021694617657676653,0.002090896049223378,0.0023564618786378615,0.0012783907680269126,0.0021338547606661014,0.0018523955273817172,0.0023677748571840082,0.0022619647913894115,0.0017693869945872554,0.001979912652369775,0.0017788206128451247,0.0021880651564179718,0.0018544506702490224,0.0011761595593835922,0.000960756393386668,0.0008811650984283851,0.0008770665172317988,0.0017949730809284801,0.0020263204424706954,0.001514160224273906,0.0012174545312682345,0.0005909003032428307,0.0017649002643595289,0.0022243707660747777,0.0012355566929585801,0.0019495942597406188
Addison,0.001874972269417671,0.0010924138507397547,0.0018548433718118345,0.0006839545137747861,0.0017655935230956965,0.0008014807057977485,0.0011207711812354524,0.0014513207845530153,0.000706952626276492,0.0015140844670676222,0.0018018855900527777,0.0014052214277557255,5.472523425619393e-05,0.0013148542721120172,0.0010480455467690238,0.0018518825297046677,0.0010631618917191174,0.0008510060443816295,0.0011163069690043976,0.0002663820411475625,0.0010148004403707502,0.0010793359414282546,0.0016215517711216266,0.0009538607770782175,0.0017862256487602127,0.0018241501125674708,0.0007882957953432747,0.001296263972841123,0.0012369065247162636,0.0014986686241114002,0.001663171033179674,0.0006565343013896853,0.0005285613905452119
Aldborough,0.00038224464525079573,0.002086911736260653,0.0010292717299182255,0.0026472542512431434,0.0017199420697870669,0.0023674489859703547,0.0021194781744155585,0.0023217112273666656,0.0028530500898284964,0.0012352598143969338,0.0012048758191467292,0.0015439370416067267,0.0029363843831779353,0.001590779934216191,0.002390380888001842,0.0005255395076918581,0.002538481145555611,0.002809807513272852,0.0019977203623480896,0.002866361639350296,0.0028175334705019886,0.0026137727633697076,0.0018805763711404612,0.002876977406911411,0.0008564196483900581,0.00020852836349059676,0.0029139960026361685,0.0022217984673301235,0.0026253924865599185,0.001542423783301812,0.0008331331048857186,0.0029408187090159727,0.002651429294962887
Aldersgate,0.0012242046099180098,0.001204092771273031,0.001300121947361934,0.0012961371375745255,0.0013510944868598217,0.0006628678880565558,3.671369679420958e-05,0.0013770200693081242,0.0014277463151427575,0.0011646454276049273,0.0011063144981480644,0.0005292699623059137,0.00105254867219413,0.0008294403679635043,0.0014774477687929913,0.001341124169278607,0.001585393053423015,0.001516949940136482,0.0004334506451248558,0.0008484466803117886,0.0015263680687046218,0.0008111670924502279,0.0009516506029688263,0.001332126842383042,0.0009299901568368548,0.0011557239862569591,0.0014915667758151104,0.0005939294757512989,0.0014375622851432077,0.000496871397274206,0.0009866538638371683,0.0010880102450524286,0.0005778150441446205
