Code,Area,Year,Fuel,Sector,Measurement,Value
E09000002,Barking and Dagenham,2005,Consuming Sector,Transport,Ktoe ,54.46876696
E09000003,Barnet,2005,Consuming Sector,Transport,Ktoe ,124.7040633
E09000004,Bexley,2005,Consuming Sector,Transport,Ktoe ,76.90982728
E09000005,Brent,2005,Consuming Sector,Transport,Ktoe ,77.16169745
E09000006,Bromley,2005,Consuming Sector,Transport,Ktoe ,105.4541483
E09000007,Camden,2005,Consuming Sector,Transport,Ktoe ,50.37005564
E09000001,City of London,2005,Consuming Sector,Transport,Ktoe ,18.86499939
E09000008,Croydon,2005,Consuming Sector,Transport,Ktoe ,103.5678368
E09000009,Ealing,2005,Consuming Sector,Transport,Ktoe ,108.3866972
E09000010,Enfield,2005,Consuming Sector,Transport,Ktoe ,124.6960796
E09000011,Greenwich,2005,Consuming Sector,Transport,Ktoe ,95.64068679
E09000012,Hackney,2005,Consuming Sector,Transport,Ktoe ,53.6459524
E09000013,Hammersmith and Fulham,2005,Consuming Sector,Transport,Ktoe ,57.25268389
E09000014,Haringey,2005,Consuming Sector,Transport,Ktoe ,59.97391901
E09000015,Harrow,2005,Consuming Sector,Transport,Ktoe ,50.31943431
E09000016,Havering,2005,Consuming Sector,Transport,Ktoe ,123.0044605
E09000017,Hillingdon,2005,Consuming Sector,Transport,Ktoe ,169.5689428
E09000018,Hounslow,2005,Consuming Sector,Transport,Ktoe ,124.1043471
E09000019,Islington,2005,Consuming Sector,Transport,Ktoe ,43.69389475
E09000020,Kensington and Chelsea,2005,Consuming Sector,Transport,Ktoe ,50.62494102
E09000021,Kingston upon Thames,2005,Consuming Sector,Transport,Ktoe ,73.70131293
E09000022,Lambeth,2005,Consuming Sector,Transport,Ktoe ,83.76865246
E09000023,Lewisham,2005,Consuming Sector,Transport,Ktoe ,81.33212019
E09000024,Merton,2005,Consuming Sector,Transport,Ktoe ,52.87939605
E09000025,Newham,2005,Consuming Sector,Transport,Ktoe ,91.6875108
E09000026,Redbridge,2005,Consuming Sector,Transport,Ktoe ,84.2025214
E09000027,Richmond upon Thames,2005,Consuming Sector,Transport,Ktoe ,68.20062738
E09000028,Southwark,2005,Consuming Sector,Transport,Ktoe ,81.87142457
E09000029,Sutton,2005,Consuming Sector,Transport,Ktoe ,54.41116551
E09000030,Tower Hamlets,2005,Consuming Sector,Transport,Ktoe ,90.75423199
E09000031,Waltham Forest,2005,Consuming Sector,Transport,Ktoe ,59.6362568
E09000032,Wandsworth,2005,Consuming Sector,Transport,Ktoe ,88.51456515
E09000033,Westminster,2005,Consuming Sector,Transport,Ktoe ,100.7261641
E09000002,Barking and Dagenham,2006,Consuming Sector,Transport,Ktoe ,57.34523002
