ward_code,borough,ward,pop2001
00ABFX,Barking and Dagenham,Abbey,10206
00ABFY,Barking and Dagenham,Alibon,9300
00ABFZ,Barking and Dagenham,Becontree,11450
00ABGA,Barking and Dagenham,Chadwell Heath,9299
00ABGB,Barking and Dagenham,Eastbrook,10096
00ABGC,Barking and Dagenham,Eastbury,10089
00ABGD,Barking and Dagenham,Gascoigne,9371
00ABGE,Barking and Dagenham,Goresbrook,10333
00ABGF,Barking and Dagenham,Heath,9649
00ABGG,Barking and Dagenham,Longbridge,8890
00ABGH,Barking and Dagenham,Mayesbrook,9316
00ABGJ,Barking and Dagenham,Parsloes,9039
00ABGK,Barking and Dagenham,River,10260
00ABGL,Barking and Dagenham,Thames,8547
00ABGM,Barking and Dagenham,Valence,8775
00ABGN,Barking and Dagenham,Village,9720
00ABGP,Barking and Dagenham,Whalebone,9604
00ACFX,Barnet,Brunswick Park,14668
00ACFY,Barnet,Burnt Oak,15243
00ACFZ,Barnet,Childs Hill,17261
00ACGA,Barnet,Colindale,13860
00ACGB,Barnet,Coppetts,14504
00ACGC,Barnet,East Barnet,15332
00ACGD,Barnet,East Finchley,14534
00ACGE,Barnet,Edgware,14816
00ACGF,Barnet,Finchley Church End,13810
00ACGG,Barnet,Garden Suburb,14727
00ACGH,Barnet,Golders Green,16249
00ACGJ,Barnet,Hale,15663
00ACGK,Barnet,Hendon,15377
00ACGL,Barnet,High Barnet,13847
00ACGM,Barnet,Mill Hill,15379
00ACGN,Barnet,Oakleigh,14740
00ACGP,Barnet,Totteridge,14449
00ACGQ,Barnet,Underhill,15721
00ACGR,Barnet,West Finchley,14264
00ACGS,Barnet,West Hendon,14587
00ACGT,Barnet,Woodhouse,15533
00ADGA,Bexley,Barnehurst,10277
00ADGB,Bexley,Belvedere,10839
00ADGC,Bexley,Blackfen and Lamorbey,10419
00ADGD,Bexley,Blendon and Penhill,10418
00ADGE,Bexley,Brampton,10387
00ADGF,Bexley,Christchurch,10390
00ADGG,Bexley,Colyers,10595
00ADGH,Bexley,Crayford,10289
00ADGJ,Bexley,Cray Meadows,10295
00ADGK,Bexley,Danson Park,10315
00ADGL,Bexley,East Wickham,10383
00ADGM,Bexley,Erith,9811
00ADGN,Bexley,Falconwood and Welling,10535
00ADGP,Bexley,Lesnes Abbey,10947
00ADGQ,Bexley,Longlands,9611
00ADGR,Bexley,North End,10465
00ADGS,Bexley,Northumberland Heath,10483
00ADGT,Bexley,St Mary`s,10043
00ADGU,Bexley,St Michael`s,10672
00ADGW,Bexley,Sidcup,10432
00ADGX,Bexley,Thamesmead East,10701
00AEGJ,Brent,Alperton,12323
00AEGK,Brent,Barnhill,13188
00AEGL,Brent,Brondesbury Park,11643
00AEGM,Brent,Dollis Hill,12102
00AEGN,Brent,Dudden Hill,13350
00AEGP,Brent,Fryent,11888
00AEGQ,Brent,Harlesden,12227
00AEGR,Brent,Kensal Green,10668
00AEGS,Brent,Kenton,11872
00AEGT,Brent,Kilburn,14172
00AEGU,Brent,Mapesbury,13242
00AEGW,Brent,Northwick Park,12175
00AEGX,Brent,Preston,12832
00AEGY,Brent,Queens Park,12400
00AEGZ,Brent,Queensbury,13175
00AEHA,Brent,Stonebridge,15943
00AEHB,Brent,Sudbury,12307
00AEHC,Brent,Tokyngton,11836
00AEHD,Brent,Welsh Harp,12405
00AEHE,Brent,Wembley Central,11002
00AEHF,Brent,Willesden Green,12714
00AFGD,Bromley,Bickley,13904
00AFGE,Bromley,Biggin Hill,10131
00AFGF,Bromley,Bromley Common and Keston,14171
00AFGG,Bromley,Bromley Town,14499
00AFGH,Bromley,Chelsfield and Pratts Bottom,14069
00AFGJ,Bromley,Chislehurst,14739
00AFGK,Bromley,Clock House,15757
00AFGL,Bromley,Copers Cope,14229
00AFGM,Bromley,Cray Valley East,14663
00AFGN,Bromley,Cray Valley West,16121
00AFGP,Bromley,Crystal Palace,11233
00AFGQ,Bromley,Darwin,4708
00AFGR,Bromley,Farnborough and Crofton,14180
00AFGS,Bromley,Hayes and Coney Hall,14923
00AFGT,Bromley,Kelsey and Eden Park,14751
00AFGU,Bromley,Mottingham and Chislehurst North,10114
00AFGW,Bromley,Orpington,15078
00AFGX,Bromley,Penge and Cator,16687
00AFGY,Bromley,Petts Wood and Knoll,13627
00AFGZ,Bromley,Plaistow and Sundridge,14374
00AFHA,Bromley,Shortlands,9303
00AFHB,Bromley,West Wickham,14276
00AGGD,Camden,Belsize,11653
00AGGE,Camden,Bloomsbury,9224
00AGGF,Camden,Camden Town with Primrose Hill,11574
00AGGG,Camden,Cantelowes,10490
00AGGH,Camden,Fortune Green,10465
00AGGJ,Camden,Frognal and Fitzjohns,11632
00AGGK,Camden,Gospel Oak,10465
00AGGL,Camden,Hampstead Town,10617
00AGGM,Camden,Haverstock,11224
00AGGN,Camden,Highgate,10492
00AGGP,Camden,Holborn and Covent Garden,10645
00AGGQ,Camden,Kentish Town,11462
00AGGR,Camden,Kilburn,10494
00AGGS,Camden,King`s Cross,11413
00AGGT,Camden,Regent`s Park,11964
00AGGU,Camden,St Pancras and Somers Town,12490
00AGGW,Camden,Swiss Cottage,11663
00AGGX,Camden,West Hampstead,10053
00AHGE,Croydon,Addiscombe,15402
00AHGF,Croydon,Ashburton,13560
00AHGG,Croydon,Bensham Manor,16088
00AHGH,Croydon,Broad Green,14866
00AHGJ,Croydon,Coulsdon East,12225
00AHGK,Croydon,Coulsdon West,13220
00AHGL,Croydon,Croham,14443
00AHGM,Croydon,Fairfield,14085
00AHGN,Croydon,Fieldway,11176
00AHGP,Croydon,Heathfield,13053
00AHGQ,Croydon,Kenley,13525
00AHGR,Croydon,New Addington,10351
00AHGS,Croydon,Norbury,13812
00AHGT,Croydon,Purley,12998
00AHGU,Croydon,Sanderstead,12165
00AHGW,Croydon,Selhurst,14591
00AHGX,Croydon,Selsdon and Ballards,11879
00AHGY,Croydon,Shirley,13978
00AHGZ,Croydon,South Norwood,14590
00AHHA,Croydon,Thornton Heath,14784
00AHHB,Croydon,Upper Norwood,14190
00AHHC,Croydon,Waddon,13393
00AHHD,Croydon,West Thornton,16498
00AHHE,Croydon,Woodside,15715
00AJGC,Ealing,Acton Central,13442
00AJGD,Ealing,Cleveland,14179
00AJGE,Ealing,Dormers Wells,13073
00AJGF,Ealing,Ealing Broadway,12634
00AJGG,Ealing,Ealing Common,12804
00AJGH,Ealing,East Acton,14448
00AJGJ,Ealing,Elthorne,12328
00AJGK,Ealing,Greenford Broadway,13297
00AJGL,Ealing,Greenford Green,12466
00AJGM,Ealing,Hanger Hill,14010
00AJGN,Ealing,Hobbayne,13068
00AJGP,Ealing,Lady Margaret,12806
00AJGQ,Ealing,Northfield,12477
00AJGR,Ealing,North Greenford,13089
00AJGS,Ealing,Northolt Mandeville,12888
00AJGT,Ealing,Northolt West End,13420
00AJGU,Ealing,Norwood Green,12647
