Borough,Names,pop2001
City of London,City of London,7350
Barking and Dagenham,Abbey,10350
Barking and Dagenham,Alibon,9350
Barking and Dagenham,Becontree,11550
Barking and Dagenham,Chadwell Heath,9400
Barking and Dagenham,Eastbrook,10200
Barking and Dagenham,Eastbury,10200
Barking and Dagenham,Gascoigne,9500
Barking and Dagenham,Goresbrook,10400
Barking and Dagenham,Heath,9750
Barking and Dagenham,Longbridge,8950
Barking and Dagenham,Mayesbrook,9400
Barking and Dagenham,Parsloes,9100
Barking and Dagenham,River,10350
Barking and Dagenham,Thames,8650
Barking and Dagenham,Valence,8850
Barking and Dagenham,Village,9800
Barking and Dagenham,Whalebone,9700
Barnet,Brunswick Park,14850
Barnet,Burnt Oak,15500
Barnet,Childs Hill,17600
Barnet,Colindale,14100
Barnet,Coppetts,14800
Barnet,East Barnet,15600
Barnet,East Finchley,14800
Barnet,Edgware,15050
Barnet,Finchley Church End,14050
Barnet,Garden Suburb,14950
Barnet,Golders Green,16550
Barnet,Hale,15900
Barnet,Hendon,15650
Barnet,High Barnet,14050
Barnet,Mill Hill,15600
Barnet,Oakleigh,14950
Barnet,Totteridge,14700
Barnet,Underhill,15950
Barnet,West Finchley,14550
Barnet,West Hendon,14850
Barnet,Woodhouse,15850
Bexley,Barnehurst,10300
Bexley,Belvedere,10900
Bexley,Blackfen and Lamorbey,10450
Bexley,Blendon and Penhill,10450
Bexley,Brampton,10450
Bexley,Christchurch,10450
Bexley,Colyers,10650
Bexley,Crayford,10350
Bexley,Cray Meadows,10350
Bexley,Danson Park,10350
Bexley,East Wickham,10400
Bexley,Erith,9850
Bexley,Falconwood and Welling,10600
Bexley,Lesnes Abbey,11000
Bexley,Longlands,9650
Bexley,North End,10500
Bexley,Northumberland Heath,10500
Bexley,St. Mary's,10100
Bexley,St. Michael's,10700
Bexley,Sidcup,10450
Bexley,Thamesmead East,10750
Brent,Alperton,12700
Brent,Barnhill,13500
Brent,Brondesbury Park,12050
Brent,Dollis Hill,12450
Brent,Dudden Hill,13800
Brent,Fryent,12200
Brent,Harlesden,12600
Brent,Kensal Green,11000
Brent,Kenton,12200
Brent,Kilburn,14650
Brent,Mapesbury,13750
Brent,Northwick Park,12450
Brent,Preston,13200
Brent,Queens Park,12850
Brent,Queensbury,13550
Brent,Stonebridge,16350
Brent,Sudbury,12700
Brent,Tokyngton,12150
Brent,Welsh Harp,12750
Brent,Wembley Central,11300
Brent,Willesden Green,13200
Bromley,Bickley,13900
Bromley,Biggin Hill,10150
Bromley,Bromley Common and Keston,14150
Bromley,Bromley Town,14500
Bromley,Chelsfield and Pratts Bottom,14100
Bromley,Chislehurst,14750
Bromley,Clock House,15750
Bromley,Copers Cope,14250
Bromley,Cray Valley East,14650
Bromley,Cray Valley West,16100
Bromley,Crystal Palace,11250
Bromley,Darwin,4700
Bromley,Farnborough and Crofton,14200
Bromley,Hayes and Coney Hall,14950
Bromley,Kelsey and Eden Park,14750
Bromley,Mottingham and Chislehurst North,10100
Bromley,Orpington,15100
Bromley,Penge and Cator,16650
Bromley,Petts Wood and Knoll,13650
Bromley,Plaistow and Sundridge,14400
Bromley,Shortlands,9300
Bromley,West Wickham,14250
Camden,Belsize,11950
Camden,Bloomsbury,9400
Camden,Camden Town with Primrose Hill,11850
Camden,Cantelowes,10750
Camden,Fortune Green,10750
Camden,Frognal and Fitzjohns,11950
Camden,Gospel Oak,10700
Camden,Hampstead Town,10900
Camden,Haverstock,11500
Camden,Highgate,10700
Camden,Holborn and Covent Garden,10900
Camden,Kentish Town,11750
Camden,Kilburn,10750
Camden,King's Cross,11650
Camden,Regent's Park,12250
Camden,St. Pancras and Somers Town,12750
Camden,Swiss Cottage,12000
Camden,West Hampstead,10400
Croydon,Addiscombe,15700
Croydon,Ashburton,13700
Croydon,Bensham Manor,16350
Croydon,Broad Green,15100
Croydon,Coulsdon East,12350
Croydon,Coulsdon West,13400
Croydon,Croham,14750
Croydon,Fairfield,14400
Croydon,Fieldway,11300
Croydon,Heathfield,13250
Croydon,Kenley,13750
Croydon,New Addington,10500
Croydon,Norbury,14050
Croydon,Purley,13200
Croydon,Sanderstead,12300
Croydon,Selhurst,14850
Croydon,Selsdon and Ballards,12050
Croydon,Shirley,14150
Croydon,South Norwood,14850
Croydon,Thornton Heath,15000
Croydon,Upper Norwood,14400
Croydon,Waddon,13600
Croydon,West Thornton,16750
Croydon,Woodside,15950
Ealing,Acton Central,13800
Ealing,Cleveland,14500
Ealing,Dormers Wells,13400
Ealing,Ealing Broadway,13050
Ealing,Ealing Common,13200
Ealing,East Acton,14800
Ealing,Elthorne,12700
Ealing,Greenford Broadway,13600
Ealing,Greenford Green,12750
Ealing,Hanger Hill,14400
Ealing,Hobbayne,13350
Ealing,Lady Margaret,13050
Ealing,Northfield,12850
Ealing,North Greenford,13400
Ealing,Northolt Mandeville,13150
Ealing,Northolt West End,13750
Ealing,Norwood Green,12950
Ealing,Perivale,13750
Ealing,South Acton,13700
Ealing,Southall Broadway,13400
Ealing,Southall Green,13200
Ealing,Southfield,12850
Ealing,Walpole,13100
Enfield,Bowes,11900
Enfield,Bush Hill Park,13600
Enfield,Chase,12750
